,filename,Meter(Confidence),ReadAPI(ALL),ReadAPI(Separated),Classification,ClassificationProb
0,20191122_132705[999969],0.5,99996921,,,0.0
1,IMG_0003_[995135]_A2,0.0,,,,0.0
2,IMG_9003[206527]_D,0.0,206527,,,0.0
3,IMG_9004_[529547]_A1,0.16666666666666666,529540,,,0.0
4,IMG_9007_[464701],0.0,,,,0.0
5,IMG_9008_[064665]_A1,0.4166666666666667,016461655,,,0.0
6,IMG_9015_[085965]_A1,0.5,08696157,,,0.0
7,IMG_9021_[453940]_A1,0.5,4589404,,,0.0
8,IMG_9022_[346540]_A1,0.3333333333333333,4654,,,0.0
9,IMG_9023_[535675]_A1,0.5,535676,,,0.0
10,IMG_9025_[473474]_A1,0.5,4734742,,,0.0
11,IMG_9029_[346503]_A1,0.25,346503,,,0.0
12,IMG_9030_[080256]_A1,0.5,0802567,,,0.0
13,IMG_9038_[352732]_A1,0.5,13627327,,,0.0
14,IMG_9067_[537827]_A1,0.5,5378279,,,0.0
15,IMG_9072_[364899]_A1,1.0,364899,,,0.0
16,IMG_9080_[049975],1.0,049975,,,0.0
17,IMG_9090_[052334]_A1,0.16666666666666666,0523398,,,0.0
18,IMG_9099_[455318]_A2,0.6666666666666666,4553,,,0.0
19,IMG_9567_[266939]_A1,0.5,266939,,,0.0
20,IMG_9568_[030532]_A1,1.0,0305325,,,0.0
21,IMG_9570_[536767]_A1,0.5,5367678,,,0.0
22,IMG_9572_[485081],0.5,4850812,,,0.0
23,IMG_9574_[030532]_A1,1.0,0305325,,,0.0
24,IMG_9581_[522347]_A1,0.8571428571428571,5223479,,,0.0
25,IMG_9590_[522074]_A1,0.8571428571428571,5220740,,,0.0
26,IMG_9597_[801232]_A2,1.0,801234,,,0.0
27,IMG_9598_[041007]_A1,0.5,0410076,,,0.0
28,IMG_9599_[522026],0.5,5220264,,,0.0
29,IMG_9615_[483266]_A1,0.5625,48326651,,,0.0
30,IMG_9622[483081],0.5,483081,,,0.0
31,IMG_9629_[007289]_A1,0.5,0072891,,,0.0
32,IMG_9634_[170431]_A1,0.5714285714285714,1704319,,,0.0
33,IMG_9644_[349663]_A1,0.5,3496630,,,0.0
34,IMG_9647_[522683]_A1,0.5,5226835,,,0.0
35,IMG_9653_[343846]_A1,0.5,238465,,,0.0
36,IMG_9657_[464111]_A1,0.5,4641136,,,0.0
37,IMG_9669_[581036],0.0,5810365,,,0.0
38,IMG_9679_[477315]_A1,0.0,,,,0.0
39,IMG_9695_[085965]_A1,0.5,08696157,,,0.0
40,IMG_9702_[346540]_A1,0.3333333333333333,4654,,,0.0
41,IMG_9703_[453940]_A1,0.5,4589404,,,0.0
42,IMG_9704_[535676]_A1,0.5,535676,,,0.0
43,IMG_9706_[473474]_A1,0.5,4734742,,,0.0
44,IMG_9710_[346503],0.25,346503,,,0.0
45,IMG_9720_[352732],0.5,13627327,,,0.0
46,IMG_9728_[445296]_A1,0.5,4452957,,,0.0
47,IMG_9737_[251972],0.0,,,,0.0
